word,most_similar,similarity
good,great,0.8033889532089233
good,bad,0.7493041157722473
good,decent,0.6918014883995056
good,suboptimal,0.6335622072219849
good,nice,0.6205282211303711
good,descent,0.6199473738670349
good,miraculous,0.6185988783836365
good,objectionable,0.6086359024047852
good,okay,0.6080620288848877
good,ok,0.6058772802352905
good,shabby,0.6051422357559204
good,sucky,0.6028132438659668
good,poor,0.6012307405471802
good,aweful,0.6009976267814636
good,captivating,0.5964365005493164
good,goood,0.5949512124061584
good,horrible,0.5938276052474976
good,ashame,0.5934405326843262
good,intends,0.59161376953125
good,powerfull,0.5886930227279663
bad,good,0.7493041157722473
bad,horrible,0.7135101556777954
bad,terrible,0.7064884305000305
bad,awful,0.6849662065505981
bad,lousy,0.6699479818344116
bad,sucky,0.6556771993637085
bad,poor,0.6491409540176392
bad,nasty,0.631589412689209
bad,shabby,0.6191219091415405
bad,scary,0.6131155490875244
bad,wretched,0.6090516448020935
bad,unlucky,0.6041203737258911
bad,objectionable,0.6008305549621582
bad,weird,0.5985087752342224
bad,aweful,0.5976576805114746
bad,horrid,0.5965733528137207
bad,perm,0.5947373509407043
bad,funny,0.5943269729614258
bad,strange,0.5940359830856323
bad,iti,0.5909478068351746
